1,4/5/2021,NG,HH,N/A,5/1/2021,5/31/2021,31,2.541,East Power,ICE
2,4/5/2021,NG,HH,N/A,5/1/2021,5/31/2021,(31),2.544,East Power,ICE
3,4/6/2021,P,PJM,On,5/1/2021,5/31/2021,1,28.65,East Power,ICE
4,4/6/2021,P,PJM,On,5/1/2021,5/31/2021,1,28.65,East Power,ICE
5,4/6/2021,P,PJM,On,5/1/2021,5/31/2021,(1),28.7,East Power,ICE
6,4/7/2021,P,PJM,On,5/1/2021,5/31/2021,1,28.7,East Power,ICE
7,4/7/2021,P,PJM,On,5/1/2021,5/31/2021,1,28.65,East Power,ICE
8,4/7/2021,P,PJM,On,5/1/2021,5/31/2021,(1),28.8,East Power,ICE
9,4/7/2021,P,PJM,On,5/1/2021,5/31/2021,(1),28.8,East Power,ICE
10,4/7/2021,P,PJM,On,5/1/2021,5/31/2021,(1),28.85,East Power,ICE
11,4/12/2021,NG,HH,N/A,5/1/2021,5/31/2021,31,2.539,East Power,ICE
12,4/12/2021,NG,HH,N/A,5/1/2021,5/31/2021,(31),2.543,East Power,ICE
13,4/12/2021,NG,HH,N/A,5/1/2021,5/31/2021,31,2.555,East Power,ICE
14,4/13/2021,NG,HH,N/A,5/1/2021,5/31/2021,(31),2.608,East Power,ICE
15,4/13/2021,NG,HH,N/A,10/1/2021,10/31/2021,31,2.809,East Power,ICE
16,4/13/2021,NG,HH,N/A,1/1/2022,1/31/2022,(31),3.127,East Power,ICE
17,4/13/2021,NG,HH,N/A,10/1/2021,10/31/2021,31,2.809,East Power,ICE
18,4/13/2021,NG,HH,N/A,1/1/2022,1/31/2022,(31),3.127,East Power,ICE
19,4/13/2021,NG,HH,N/A,10/1/2021,10/31/2021,31,2.806,East Power,ICE
20,4/13/2021,NG,HH,N/A,1/1/2022,1/31/2022,(31),3.129,East Power,ICE
21,4/13/2021,NG,HH,N/A,10/1/2021,10/31/2021,31,2.808,East Power,ICE
22,4/13/2021,NG,HH,N/A,1/1/2022,1/31/2022,(31),3.128,East Power,ICE
23,4/13/2021,NG,HH,N/A,10/1/2021,10/31/2021,31,2.806,East Power,ICE
24,4/13/2021,NG,HH,N/A,1/1/2022,1/31/2022,(31),3.129,East Power,ICE
25,4/13/2021,NG,HH,N/A,10/1/2021,10/31/2021,31,2.805,East Power,ICE
26,4/13/2021,NG,HH,N/A,1/1/2022,1/31/2022,(31),3.129,East Power,ICE
27,4/14/2021,NG,HH,N/A,5/1/2021,5/31/2021,31,2.63,East Power,ICE
28,4/14/2021,NG,HH,N/A,10/1/2021,10/31/2021,31,2.801,East Power,ICE
29,4/14/2021,NG,HH,N/A,1/1/2022,1/31/2022,(31),3.125,East Power,ICE
30,4/14/2021,NG,HH,N/A,10/1/2021,10/31/2021,31,2.801,East Power,ICE
31,4/14/2021,NG,HH,N/A,1/1/2022,1/31/2022,(31),3.108,East Power,ICE
32,4/14/2021,NG,HH,N/A,10/1/2021,10/31/2021,31,2.801,East Power,ICE
33,4/14/2021,NG,HH,N/A,1/1/2022,1/31/2022,(31),3.11,East Power,ICE
34,4/14/2021,NG,HH,N/A,10/1/2021,10/31/2021,31,2.81,East Power,ICE
35,4/14/2021,NG,HH,N/A,1/1/2022,1/31/2022,(31),3.111,East Power,ICE
36,4/14/2021,NG,HH,N/A,5/1/2021,5/31/2021,(31),2.634,East Power,ICE
37,4/15/2021,NG,HH,N/A,10/1/2021,10/31/2021,31,2.78,East Power,ICE
38,4/15/2021,NG,HH,N/A,1/1/2022,1/31/2022,(31),3.107,East Power,ICE
39,4/15/2021,P,PJM,On,5/1/2021,5/31/2021,25,31.5,East Power,ICAP
40,4/15/2021,P,PJM,On,5/1/2021,5/31/2021,1,31.45,East Power,ICE
41,4/15/2021,P,PJM,On,5/1/2021,5/31/2021,(1),31.55,East Power,ICE
42,4/15/2021,P,PJM,On,5/1/2021,5/31/2021,(1),31.55,East Power,ICE
43,4/15/2021,P,PJM,On,5/1/2021,5/31/2021,(5),31.6,East Power,ICE
44,4/15/2021,P,PJM,On,5/1/2021,5/31/2021,(5),31.6,East Power,ICE
45,4/15/2021,P,PJM,On,5/1/2021,5/31/2021,(4),31.6,East Power,ICE
46,4/15/2021,P,PJM,On,5/1/2021,5/31/2021,(5),31.6,East Power,ICE
47,4/15/2021,P,PJM,On,5/1/2021,5/31/2021,1,31.4,East Power,ICE
48,4/15/2021,P,PJM,On,5/1/2021,5/31/2021,(1),31.6,East Power,ICE
49,4/15/2021,P,PJM,On,5/1/2021,5/31/2021,(5),31.65,East Power,ICE
50,4/15/2021,NG,HH,N/A,10/1/2021,10/31/2021,31,2.824,East Power,ICE
51,4/15/2021,NG,HH,N/A,1/1/2022,1/31/2022,(31),3.13,East Power,ICE
52,4/15/2021,NG,HH,N/A,10/1/2021,10/31/2021,31,2.825,East Power,ICE
53,4/15/2021,NG,HH,N/A,1/1/2022,1/31/2022,(31),3.132,East Power,ICE
54,4/15/2021,NG,HH,N/A,10/1/2021,10/31/2021,31,2.831,East Power,ICE
55,4/15/2021,NG,HH,N/A,1/1/2022,1/31/2022,(31),3.132,East Power,ICE
56,4/15/2021,NG,HH,N/A,5/1/2021,5/31/2021,31,2.649,East Power,ICE
57,4/15/2021,NG,HH,N/A,5/1/2021,5/31/2021,(31),2.655,East Power,ICE
58,4/16/2021,NG,HH,N/A,5/1/2021,5/31/2021,31,2.681,East Power,ICE
59,4/16/2021,NG,HH,N/A,5/1/2021,5/31/2021,(31),2.687,East Power,ICE
60,4/16/2021,NG,HH,N/A,10/1/2021,10/31/2021,31,2.843,East Power,ICE
61,4/16/2021,NG,HH,N/A,1/1/2022,1/31/2022,(31),3.143,East Power,ICE
62,4/16/2021,NG,HH,N/A,5/1/2021,5/31/2021,31,2.675,East Power,ICE
63,4/16/2021,NG,HH,N/A,5/1/2021,5/31/2021,(31),2.68,East Power,ICE
64,4/19/2021,NG,HH,N/A,5/1/2021,5/31/2021,31,2.721,East Power,ICE
65,4/19/2021,NG,HH,N/A,10/1/2021,10/31/2021,31,2.879,East Power,ICE
66,4/19/2021,NG,HH,N/A,1/1/2022,1/31/2022,(31),3.175,East Power,ICE
67,4/19/2021,NG,HH,N/A,10/1/2021,10/31/2021,31,2.876,East Power,ICE
68,4/19/2021,NG,HH,N/A,1/1/2022,1/31/2022,(31),3.173,East Power,ICE
69,4/19/2021,NG,HH,N/A,10/1/2021,10/31/2021,62,2.877,East Power,ICE
70,4/19/2021,NG,HH,N/A,1/1/2022,1/31/2022,(62),3.176,East Power,ICE
71,4/19/2021,NG,HH,N/A,5/1/2021,5/31/2021,31,2.7,East Power,ICE
72,4/19/2021,NG,HH,N/A,5/1/2021,5/31/2021,(31),2.706,East Power,ICE
73,4/19/2021,NG,HH,N/A,10/1/2021,10/31/2021,31,2.869,East Power,ICE
74,4/19/2021,NG,HH,N/A,1/1/2022,1/31/2022,(31),3.168,East Power,ICE
75,4/19/2021,NG,HH,N/A,10/1/2021,10/31/2021,31,2.871,East Power,ICE
76,4/19/2021,NG,HH,N/A,1/1/2022,1/31/2022,(31),3.171,East Power,ICE
77,4/19/2021,NG,HH,N/A,10/1/2021,10/31/2021,31,2.876,East Power,ICE
78,4/19/2021,NG,HH,N/A,1/1/2022,1/31/2022,(31),3.173,East Power,ICE
79,4/19/2021,NG,HH,N/A,10/1/2021,10/31/2021,31,2.88,East Power,ICE
80,4/19/2021,NG,HH,N/A,1/1/2022,1/31/2022,(31),3.178,East Power,ICE
81,4/19/2021,NG,HH,N/A,5/1/2021,5/31/2021,(31),2.728,East Power,ICE
82,4/19/2021,NG,HH,N/A,5/1/2021,5/31/2021,31,2.721,East Power,ICE
83,4/19/2021,NG,HH,N/A,5/1/2021,5/31/2021,(31),2.73,East Power,ICE
84,4/20/2021,P,PJM,On,5/1/2021,5/31/2021,(5),31.25,East Power,ICE
85,4/20/2021,NG,HH,N/A,5/1/2021,5/31/2021,31,2.72,East Power,ICE
86,4/20/2021,NG,HH,N/A,5/1/2021,5/31/2021,(31),2.725,East Power,ICE
87,4/20/2021,P,PJM,On,5/1/2021,5/31/2021,1,30.9,East Power,ICE
88,4/20/2021,NG,HH,N/A,5/1/2021,5/31/2021,31,2.729,East Power,ICE
89,4/20/2021,P,PJM,On,5/1/2021,5/31/2021,1,30.85,East Power,ICE
